11/10/2020 08:11,Aberdeen,Joan Pickles,"Large Flavoured latte - Gingerbread - 2.85, Large Flavoured latte - Vanilla - 2.85, Large Latte - 2.45, Large Flavoured latte - Gingerbread - 2.85",11.00,CARD,5359353452578239
11/10/2020 08:11,Aberdeen,Ross Waits," Speciality Tea - Camomile - 1.30, Regular Filter coffee - 1.50",2.80,CASH,
11/10/2020 08:12,Aberdeen,Ann Vanburen," Speciality Tea - Camomile - 1.30,  Speciality Tea - Green - 1.30,  Iced latte - 2.35,  Red Label tea - 1.20,  Speciality Tea - Peppermint - 1.30",7.45,CASH,
11/10/2020 08:13,Aberdeen,Linda Motes," Speciality Tea - Darjeeling - 1.30, Large Americano - 2.25, Large Espresso - 1.80",5.35,CARD,4119758788222
11/10/2020 08:14,Aberdeen,Jerome Guinyard," Speciality Tea - Green - 1.30,  Flavoured iced latte - Hazelnut - 2.75",4.05,CARD,54485291277119410
11/10/2020 08:15,Aberdeen,Ignacio Dunn," Flavoured iced latte - Hazelnut - 2.75,  Smoothies - Berry Beautiful - 2.00",4.75,CARD,5439635288795621
11/10/2020 08:16,Aberdeen,Reynaldo Martinez, Frappes - Strawberries & Cream - 2.75,2.75,CARD,4399969271999671
11/10/2020 08:17,Aberdeen,Fannie Knutson,"Large Espresso - 1.80,  Smoothies - Glowing Greens - 2.00",3.80,CARD,4335474874982361
11/10/2020 08:18,Aberdeen,Darren Mcchriston," Flavoured iced latte - Vanilla - 2.75, Large Flavoured latte - Gingerbread - 2.85,  Iced americano - 2.15",7.75,CARD,4666891461575192
11/10/2020 08:19,Aberdeen,Heidi Correa,"Regular Latte - 2.15,  Flavoured iced latte - Hazelnut - 2.75,  Glass of milk - 0.70",5.60,CASH,
11/10/2020 08:20,Aberdeen,Michael Attaway," Glass of milk - 0.70,  Babyccino - 0.00,  Speciality Tea - Green - 1.30",2.00,CARD,4148569477352
11/10/2020 08:21,Aberdeen,Christopher Martin," Speciality Tea - English breakfast - 1.30, Regular Espresso - 1.50,  Speciality Tea - Earl Grey - 1.30",4.10,CARD,3723359836869410
11/10/2020 08:22,Aberdeen,Richard Witt,Large Flavoured latte - Gingerbread - 2.85,2.85,CARD,363793178565314
11/10/2020 08:23,Aberdeen,Frederick Dobies,Large Hot chocolate - 2.90,2.90,CASH,
11/10/2020 08:24,Aberdeen,Walter Adamo," Speciality Tea - Fruit - 1.30,  Smoothies - Berry Beautiful - 2.00, Regular Flavoured latte - Vanilla - 2.55",5.85,CASH,
11/10/2020 08:25,Aberdeen,Tracy Chapman, Speciality Tea - Earl Grey - 1.30,1.30,CASH,
11/10/2020 08:25,Aberdeen,Zenobia Wood,"Regular Espresso - 1.50, Large Americano - 2.25,  Hot Chocolate - 1.40, Large Latte - 2.45,  Frappes - Strawberries & Cream - 2.75",10.35,CASH,
11/10/2020 08:26,Aberdeen,Tim Donaldson," Cortado - 2.05,  Smoothies - Glowing Greens - 2.00, Large Flavoured hot chocolate - Caramel - 2.90",6.95,CARD,5236922433421179
11/10/2020 08:27,Aberdeen,William Lopez, Frappes - Coffee - 2.75,2.75,CARD,3564942183143710
11/10/2020 08:28,Aberdeen,Eric Graves,"Regular Flavoured hot chocolate - Vanilla - 2.60,  Flavoured iced latte - Caramel - 2.75",5.35,CARD,6011133894952871
11/10/2020 08:29,Aberdeen,Tessa Wait," Iced americano - 2.15,  Flavoured iced latte - Caramel - 2.75,  Flavoured iced latte - Vanilla - 2.75",7.65,CARD,361895898782285
11/10/2020 08:30,Aberdeen,Julian Leverett, Flavoured iced latte - Vanilla - 2.75,2.75,CASH,
11/10/2020 08:31,Aberdeen,Jacalyn Davis," Glass of milk - 0.70,  Smoothies - Berry Beautiful - 2.00, Large Flavoured latte - Hazelnut - 2.85",5.55,CASH,
11/10/2020 08:32,Aberdeen,Barbara Knutson," Speciality Tea - Darjeeling - 1.30,  Mocha - 2.30, Large Latte - 2.45",6.05,CARD,3565562758954410
11/10/2020 08:33,Aberdeen,Gabrielle Amador,"Large Filter coffee - 1.80, Large Flavoured latte - Gingerbread - 2.85,  Speciality Tea - Green - 1.30, Large Espresso - 1.80",7.75,CARD,4445689626631
11/10/2020 08:34,Aberdeen,Vera Burnett," Babyccino - 0.00, Regular Flavoured latte - Hazelnut - 2.55",2.55,CARD,4652438274361
11/10/2020 08:35,Aberdeen,Bruce Mays,"Large Americano - 2.25,  Frappes - Coffee - 2.75,  Speciality Tea - Camomile - 1.30",6.30,CARD,356674212249751
11/10/2020 08:36,Aberdeen,Edward Ellis," Babyccino - 0.00, Large Flavoured hot chocolate - Hazelnut - 2.90,  Hot Chocolate - 1.40,  Frappes - Coffee - 2.75",7.05,CARD,5513297455291915
11/10/2020 08:37,Aberdeen,Eleanor Peters," Hot Chocolate - 1.40,  Babyccino - 0.00,  Babyccino - 0.00",1.40,CARD,44253862144689210
11/10/2020 08:38,Aberdeen,Jose Coleman, Babyccino - 0.00,0.00,CASH,
11/10/2020 08:39,Aberdeen,Elizabeth Brannen,"Regular Hot chocolate - 2.20,  Flavoured iced latte - Hazelnut - 2.75,  Flavoured iced latte - Vanilla - 2.75, Regular Americano - 1.95, Regular Chai latte - 2.30",11.95,CASH,
11/10/2020 08:39,Aberdeen,Donald Zamudio,Regular Filter coffee - 1.50,1.50,CASH,
